id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
794952087101256300,Cozy apartment near everywhere!,149534964,Janine,,Grünerløkka,59.933629167182296,10.781875809293368,Entire home/apt,861,1,18,2024-06-25,1.04,1,151,14,
794975326291224941,Moderne og praktisk leilighet.,450882020,Henning,,Nordre Aker,59.940745993966935,10.787711999629206,Entire home/apt,1090,3,9,2024-05-11,0.63,1,153,5,
795001323571166354,Top Flat Retreat Grunerløkka,422121144,Lars,,Grünerløkka,59.9202541,10.7648281,Entire home/apt,900,3,3,2024-05-31,0.32,1,33,3,
795428851931420196,Privat rom på Bjørn Dal,493851629,Adewumi,,Søndre Nordstrand,59.83274040000001,10.8352849,Private room,900,1,0,,,1,364,0,
795432774712004047,"Top Floor Apartment, Central Oslo (Grønland)",493852445,Hilde,,Gamle Oslo,59.91044446757502,10.76303355395794,Entire home/apt,2271,2,118,2024-06-28,6.64,1,196,93,
795461329647035607,Unik studioleilighet,199615069,Emilie,,Grünerløkka,59.92882767104226,10.793935424312544,Entire home/apt,1250,2,5,2024-06-14,0.40,1,28,4,
795494180635711127,Leilighet på beste Frogner,493868285,Annette,,Frogner,59.914438794720844,10.709939247919586,Entire home/apt,2357,2,15,2024-01-17,0.86,1,145,11,
795781116480479584,Nyoppusset leilighet Majorstuen,43720289,Martine,,Frogner,59.9247934,10.7280478,Entire home/apt,,7,2,2023-02-12,0.12,1,0,0,
796387012553924999,Design apartment at the heart of Oslo,27811700,Elisabeth,,Grünerløkka,59.919431779818524,10.751859029169355,Private room,1800,2,8,2024-06-11,0.56,1,363,2,
796417503128783805,Romslig leilighet i perfekte omgivelser,128905606,Benedicte,,Sagene,59.94153,10.77574,Entire home/apt,1300,2,1,2023-07-30,0.09,1,130,1,
796423425781638989,Top corner apartment inc. balcony with great view,344264549,Carl Erik,,Sagene,59.93207027840537,10.768274071321239,Entire home/apt,843,8,4,2024-05-10,0.67,1,47,4,
796428111338375818,Enderekkehus Oslo/Ryen,66475810,Martin,,Østensjø,59.888857246535395,10.811998966366245,Entire home/apt,2350,6,0,,,1,21,0,
796881010145200846,Close to Ullevål Sykehus and the University,494243473,Lotte,,St. Hanshaugen,59.933480027170425,10.739632289102751,Entire home/apt,1000,5,1,2023-06-04,0.08,1,363,0,
796891702001774592,Rolig leilighet på Grüneløkka,51879530,Nicol,,Grünerløkka,59.91962750212251,10.763335977429444,Entire home/apt,1293,3,5,2024-05-31,0.45,1,47,5,
796897332026380778,Nice apartment in super location,26729463,Anna Sofie,,Sagene,59.938878671242776,10.77344354301328,Entire home/apt,1300,3,2,2023-06-27,0.15,1,362,0,
797056234336995307,Rom i koselig leilighet,5226610,Gitte N.,,Nordre Aker,59.93933349252189,10.786420080323271,Private room,,2,7,2023-09-29,0.60,2,2,7,
797844585296525667,Moderne leilighet nært sentrum,3342976,Emilie,,Gamle Oslo,59.90314632471129,10.79199330726152,Entire home/apt,1200,4,2,2023-12-31,0.12,1,14,1,
797887746234860614,Crash our sofa,492109887,Herman,,Grünerløkka,59.92306187914843,10.77342289671923,Shared room,800,1,0,,,2,365,0,
798173237611984237,Bright and cozy apt close to «everything» in Oslo,5622367,Torunn,,Gamle Oslo,59.911539897281564,10.789999812841415,Entire home/apt,1199,2,0,,,1,167,0,
